,original_sentences,adversarial_sentences
298,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,Congratulations! Congratulations - in this week's competition draw you have won the £1450 prize to claim just call 09050002311 to claim your prize.Get SMS alerts to 22840 for only 150ppm
299,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,Your B4Utele.com w/c 27/03/2018 Log onto www.B4UTele.com for more information. To opt out of the service Customer care call 08717168528
300,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,Hi - Hey - I'm Buffy. 25 and love to satisfy. Home alone feeling lonely. ReplyDeleteAdd commentLoad more on my PIX! Help08700621170150p a msg Send me a message to stop txts
301,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop","How To Submit To Drinks On Us For your holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Ireland.The Quiz Starts Saturday! Stop"
302,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+,FREE for 1st week! No1 tone 16+ If ur not getting messages every week just txt me to 87077 Get txting and tell ur friends to text me to 36504 W45WQ150p/tone 16+
303,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary","Shop online NOW WHAT IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, or call the NTT PO Box on the fixedline, 150ppm. Prices vary"
304,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,Txt bundle deals available with linerental from 4.49/month with cross ntwk and 1/2 price txt bundles deals also available. Call 08001950382 or email MF
305,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM","URGENT! we have reached out to you and you have won a £2,000 cash prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, London"
306,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins","* 3* 4* Costa Del Sol* 5* 6* 7* 8* Call 09050090044 Now Available: SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
307,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,We have a guaranteed £1000 cash reward and a £2000 bonus. To contact us please call our customer service representative on 08714712379 between 10am-7pm Cost:
308,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120",Thanks for your patience. Please call the number below. Your tone will be charged. Should your tone not arrive please call customer services on 09065069120
309,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",Hi ya babe x u 4goten bout me?' I'm getting smart..Though this is a regular vodafone message and if you respond you get a prem rate and a nosy reply. Beware!
310,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL,Back 2 the 2morro half term over! Can U C me 4 some time? B4 I have 2 go back? Chat NOW 09099726481 DENA!
311,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",Thanks for your patience. Please call the number below. Your tone will be charged. Should your tone not arrive please call customer services on 09065069154
312,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,1. Choose from 1000s of tones for each wk! This is a very simple service with 1000 tones costing $1. U have one choice - kick back and ENJOY
313,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,Not heard from U4 a.m. Call me on rude chat private line 01223585334. Please cum. Wan some pics of me being shagged then text me to 8552. Please send STOP 8552 xxx
314,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,>Call 88877>FREE entry into our £250 weekly comp just send the word out to 888777>
315,88066 FROM 88066 LOST 3POUND HELP,HOW TO HELP
316,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,Want to upgrade your mobile phone? Update for FREE to Oranges latest mobile camera mobiles & unlimited data? Call Mobile App on freefone 08000839402 or 2StopTx
317,You have 1 new message. Please call 08718738034.,FACTBOX: 08718738034.
318,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,>Message from 21870000>Hi - this is a Mailbox Messaging SMS. You have 4 messages. Please You have 21. Please call back on 09056242159 to confirm that your messages are matches
319,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","Congrats! 1 year special pass for you is free! Call 09061209465 now! Suprman V, Matrix3, StarWars3, etc all are FREE! Dont miss out!"
320,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,WIN a year supply of music from a store of your choice worth £500 & enter our £100 Gift Card by texting txt MUSIC to 87066.
321,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow,Take the High Street Quiz.Win a £100 High Street prize if you win.Want to know who the new Duchess of Cambridge will be? Txt her first name to win £1.50.Red Arrow
322,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,"You have won a Nokia. This is what you get when you win our FREE trial. To take part, text Nokia to 86021."
323,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.","Congratulations! Thanks to a good friend you have WON the £2,000 Xmas gift card! If anyone is interested just call 08718726971 NOW! Only 10p per person."
324,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..", (More info from Wikipedia) Dozens of Freebies - with great benefits
325,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm","URGENT! Your phone number is *************** and you will be charged a £2000 fee! Caller ID expired on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! # 97N7QP, London"
326,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,Get your mins & txts on Orange or 1/2 phone linerental - Motorola and Samsung with a FREE Call us on 08000839402.
327,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3","You can send as many emails as u like no restrictions, and U can even send 2 emails to Txt Sir to 80082 £3"
328,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Call 08712402902 immediately as there is no need for registration
329,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic","Spook up your wallet with a $20 gift card of a logo & pic, plus a free txt CARD. Send to 8007 zed 08701417012150p per logo/pic"
330,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088","Sky Fantasy Football is back on your screens! Go to Sky Fantasy Football on Sky Active and play £250k Dream League. Scoring starts on Saturday, so sign up now!SKY FANTASY Football OUTSIDE 88088"
331,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,Send this to a friend Your email address has now expired 2 days ago reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP Txt stop This is free Txt 0871212025016
332,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only,Todays draw: We are trying to get you to Todays Draw so that you have won a £2000 prize. Call 09058094565 from land line. Valid 12hrs only
333,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,YES! The only place in town where you can get a Txt is now in the Txt. It is down to 86688 now! 150p/Msg.
334,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",Someone has contacted our customer service and has your phone number with you! To find out who it is call from a landline 09058098002.
335,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),Babe: U want me dont u baby! Im going to go and have a thing 4 you! Fancy a rude time with a girl? How about we go slo n hard! I love you!
336,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I don't know what you're talking about and u don't answer. Send CHAT to 86688 now and let's talk to each other!Send 150p/Msg to LDN. 18 or over.
337,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,SMS: For all inclusive tax credits pls gotto.com 3qxj9 unsubscribe with STOP no extra charge help from 9AE
338,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,Valentines Day Special! Win over £1000 in our prize draw and take your loved ones on the trip of a lifetime! GO to 83600.com.
339,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,Guess who am I?This is the first time I created a web page for you. I know I'm waiting for your response and I want to be your friend.
340,"For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.","Enter for ur chance to win £250 for every wk you donate to the charity of your choice: custcare 08715705022, 1x150p/wk."
341,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16","Final Chance! Claim ur £150 worth of raffle tickets today! Text YES to 85023 now!T T Cs SavaMob POBOX84, M263UZ. £3.00 - 16"
342,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",Sppok up your phone with a collection of nokia message plus a little eerie txt CARD SPOOK to 8007
343,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer","For more information call 09066612661 from today.A complementary Tenerife Holiday or £10,000 cash await at SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+.Tenerife Offer"
344,WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,"WINNER! As a lucky winner, you will have been selected to receive a £900 gift card. To collect call 0844 571. Valid 24 hours only. ACL03530150PM"
345,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,You have been entered for a chance to win $ 6230 plus a free digital download. This is what u get when u win our FREE trial. To take part send a message to 83383 or POBOX114/14TCR/W1 16
346,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,"FREE entry into our £250 prize pool, just send the word to 800863."
347,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk","Get the best ringtones, rings and more from our partners:"
348,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)","Congratulations! You have been awarded a FREE DIGITAL CAMERA, just click on SNAP to collect your prize! Want to help out? Stop 80122300p/wk."
